#hugo	sublist
GSTM2	negative_c
GABARAP	negative_c
PCDHB16	negative_c
CDK5R1	negative_c
CHST1	negative_c
MAP2K4P1	negative_c
FGF9	negative_c
NLRC4	negative_c
DTNA	negative_c
INPP5K	negative_c
PPP3CB	negative_c
ACHE	negative_c
PMF1-BGLAP	negative_c
PIP5K1C	negative_c
CADM1	negative_c
CHKB	negative_c
LOC400682	negative_c
SRGAP1	negative_c
MIR3685	negative_c
PCDHB19P	negative_c
TMCC1	negative_c
CLTCL1	negative_c
EDA	negative_c
MREG	negative_c
LINC00629	negative_c
ULBP2	negative_c
NDUFA10	negative_c
UBASH3B	negative_c
MICAL3	negative_c
SSBP2	negative_c
RFPL1	negative_c
TBC1D29	negative_c
UTS2D	negative_c
PCDH1	negative_c
AMIGO2	negative_c
GK5	negative_c
TUBGCP4	negative_c
MON1A	negative_c
CD200	negative_c
PRKCB	negative_c
CCDC61	negative_c
ANK3	negative_c
SH3BP5	negative_c
TCF7L2	negative_c
MTMR9LP	negative_c
CATSPER3	negative_c
GLTPD2	negative_c
ITGAD	negative_c
MAGI3	negative_c
GNG2	negative_c
ELAVL4	negative_c
AHI1	negative_c
EPC1	negative_c
FAM171A1	negative_c
ZNF286B	negative_c
ATXN1	negative_c
ZNF142	negative_c
SLAMF8	negative_c
ZNF592	negative_c
SMCR7	negative_c
GRM2	negative_c
GGT1	negative_c
MYCL1	negative_c
LOC553103	negative_c
MANSC4	negative_c
GCNT6	negative_c
EVI5L	negative_c
PRDM2	negative_c
S100PBP	negative_c
SBF1	negative_c
SUFU	negative_c
FBXO9	negative_c
PRDM10	negative_c
SCN9A	negative_c
COL4A2	negative_c
CLCN1	negative_c
PIP4K2B	negative_c
TRIL	negative_c
LLGL1	negative_c
AUTS2	negative_c
RIMS3	negative_c
PLXNA4	negative_c
LDOC1L	negative_c
RUNX1T1	negative_c
TAS2R20	negative_c
PCLO	negative_c
RALGDS	negative_c
SRRM1	negative_c
CROT	negative_c
ANKRD52	negative_c
CCDC68	negative_c
YPEL1	negative_c
CLEC18C	negative_c
LENG8	negative_c
MGC15885	negative_c
CALML4	negative_c
MICALL1	negative_c
SLC18A2	negative_c
PFKFB4	negative_c
NYNRIN	negative_c
MAP1LC3A	negative_c
MYO15A	negative_c
LOC402269	negative_c
GNAI1	negative_c
KCTD7	negative_c
KIDINS220	negative_c
IFT20	negative_c
LTC4S	negative_c
FLOT2	negative_c
INO80D	negative_c
LOC728730	negative_c
MRPS25	negative_c
CSDC2	negative_c
TUBA1A	negative_c
CA10	negative_c
ACAD10	negative_c
LOC100130950	negative_c
DDC	negative_c
SAT2	negative_c
ULK1	negative_c
AP2A2	negative_c
ZC3H7B	negative_c
PTF1A	negative_c
NT5C1A	negative_c
TNS1	negative_c
TOR2A	negative_c
PRKCD	negative_c
GNB3	negative_c
SAMD5	negative_c
MOB3A	negative_c
FZR1	negative_c
DUSP16	negative_c
FKRP	negative_c
CLEC18A	negative_c
KDM4A	negative_c
GLS	negative_c
FRS3	negative_c
CRTC3	negative_c
TNRC6B	negative_c
PHF7	negative_c
LOC100507145	negative_c
C1QTNF3	negative_c
PYGB	negative_c
DENND1B	negative_c
MFSD12	negative_c
KIRREL3	negative_c
ATP6V0E2-AS1	negative_c
CIRBP	negative_c
ANKRD13A	negative_c
MSTN	negative_c
CCNT2	negative_c
TNKS1BP1	negative_c
FUCA1	negative_c
FBRSL1	negative_c
RNF144A	negative_c
LEPREL2	negative_c
ALS2CL	negative_c
LOC649395	negative_c
CASC3	negative_c
FRMD4A	negative_c
CELSR2	negative_c
LOC100287294	negative_c
CPB2-AS1	negative_c
RAD52	negative_c
SMARCC2	negative_c
MAPKBP1	negative_c
GABARAPL1	negative_c
USP22	negative_c
LMO7	negative_c
SCAPER	negative_c
PCSK5	negative_c
VSTM2L	negative_c
PRUNE2	negative_c
B4GALNT4	negative_c
SRRM3	negative_c
CCDC116	negative_c
LOC400043	negative_c
NEDD4	negative_c
ZNF264	negative_c
ARL6IP5	negative_c
TRIM67	negative_c
SEMA4D	negative_c
REV3L	negative_c
CCDC23	negative_c
DPYSL2	negative_c
ZDHHC18	negative_c
NCOA7	negative_c
SLC45A2	negative_c
MIR3911	negative_c
SETDB2	negative_c
ZNF286A	negative_c
SORBS2	negative_c
LOC100506748	negative_c
MAPK4	negative_c
KLC4	negative_c
SCRG1	negative_c
ZNF436	negative_c
SVIL	negative_c
PAK1	negative_c
SDK1	negative_c
CLSTN3	negative_c
SLC37A2	negative_c
SHC2	negative_c
BRD1	negative_c
JAZF1-AS1	negative_c
HID1	negative_c
SLC44A2	negative_c
DKK1	negative_c
SNX30	negative_c
CACNG1	negative_c
HTR1B	negative_c
PVRL3-AS1	negative_c
DLG4	negative_c
LOC344595	negative_c
ANXA9	negative_c
MIR339	negative_c
SRSF4	negative_c
TBC1D3P2	negative_c
MYSM1	negative_c
SYNGR1	negative_c
RGPD5	negative_c
NEIL1	negative_c
AK5	negative_c
CNST	negative_c
TRIO	negative_c
FP2234	negative_c
FAM222B	negative_c
RNF146	negative_c
SLC35E2	negative_c
GNAO1	negative_c
NMT2	negative_c
MMP9	negative_c
ASPRV1	negative_c
CRHBP	negative_c
WASF2	negative_c
DCUN1D2	negative_c
SGK2	negative_c
ZMYM4	negative_c
C1ORF126	negative_c
MAGI2	negative_c
YWHAE	negative_c
ZNRF1	negative_c
AMY1C	negative_c
MTF2	negative_c
STMN2	negative_c
GREM1	negative_c
LAMB1	negative_c
LIFR	negative_c
PAPOLG	negative_c
LOC100506725	negative_c
C1ORF204	negative_c
KIAA1715	negative_c
SCLT1	negative_c
DPYD	negative_c
PTPRD	negative_c
LRRC63	negative_c
CDH6	negative_c
MEP1A	negative_c
IL18	negative_c
DLEU2	negative_c
PPIEL	negative_c
ITGA8	negative_c
LOC100287290	negative_c
SPRYD7	negative_c
TFEB	negative_c
KIAA1456	negative_c
BAZ2A	negative_c
B4GALNT1	negative_c
CUBN	negative_c
PFKL	negative_c
HCG27	negative_c
RGS3	negative_c
CYP2D6	negative_c
ITGA11	negative_c
RBM47	negative_c
KIF5A	negative_c
CBFB	negative_c
WISP1	negative_c
MASP2	negative_c
PITPNM2	negative_c
WNT2B	negative_c
RNF165	negative_c
BCRP3	negative_c
AMY1A	negative_c
RBMS2	negative_c
CCNL2	negative_c
PPIP5K1	negative_c
PDLIM7	negative_c
CYB5D2	negative_c
GPATCH8	negative_c
NLN	negative_c
SERHL2	negative_c
AMY1B	negative_c
REV1	negative_c
GLG1	negative_c
KIAA1841	negative_c
JPH3	negative_c
LOC283174	negative_c
SEPT3	negative_c
KLRAP1	negative_c
GNRH2	negative_c
SCN8A	negative_c
CCDC170	negative_c
TFAP2B	negative_c
SOX15	negative_c
LOC100128374	negative_c
ZNF197	negative_c
LASP1	negative_c
BMF	negative_c
HGSNAT	negative_c
SPOPL	negative_c
MYT1L	negative_c
RUNDC3B	negative_c
PIP4K2A	negative_c
ZC3H6	negative_c
MMP25	negative_c
TET3	negative_c
NRSN1	negative_c
ATP6V1G2	negative_c
FOXJ2	negative_c
DGCR2	negative_c
ELOVL2	negative_c
UBR4	negative_c
CPEB3	negative_c
NBPF8	negative_c
FAM71F2	negative_c
ARID1B	negative_c
LOC100506497	negative_c
MXD1	negative_c
SNORA16A	negative_c
CCNI2	negative_c
ARRB2	negative_c
SFXN5	negative_c
THSD7A	negative_c
SETD5	negative_c
TMEM72-AS1	negative_c
ZBTB22	negative_c
WDR47	negative_c
ZNF516	negative_c
RHOU	negative_c
CDX1	negative_c
SCG2	negative_c
ATXN7L1	negative_c
OGDH	negative_c
SLC31A1	negative_c
PRKAA1	negative_c
CTDNEP1	negative_c
LOC100506974	negative_c
TRANK1	negative_c
PJA2	negative_c
FAM160B1	negative_c
MAFB	negative_c
PPP1R12A	negative_c
ELAC2	negative_c
MAP3K12	negative_c
LDLRAD4	negative_c
LOC150776	negative_c
