#hugo	exprssn_associated_to_larger_survival
RPL26L1	high
ACBD7	high
PPP4R2	high
PDE12	high
RPS24	high
PTPDC1	high
PTGIS	high
NT5DC3	high
ACP6	high
LOC399815	high
EI24	high
HSP90B3P	high
SRP72	high
RCCD1	high
CEACAM7	high
SHC3	high
MED20	high
KTN1-AS1	high
ELP6	high
PKM	high
LOC100652758	high
DNAH14	high
FAM127C	high
GMEB2	high
NFYB	high
RPS27A	high
PSME3	high
TICAM1	high
MAK16	high
HOXD11	high
GNL3	high
GTF2A2	high
ATXN2L	high
TAF5L	high
ADAMTS19	high
RPL13	high
THUMPD1	high
DYM	high
RPL23P8	high
LOC100287852	high
PSMA2	high
GTF3C2	high
LGR5	high
PSRC1	high
FUNDC1	high
RPS27L	high
APOA1BP	high
NDE1	high
YIF1B	high
HTR6	high
U2AF2	high
MPHOSPH6	high
RAI14	high
SOLH	high
EMG1	high
RAB8A	high
NUP188	high
NUDT15	high
NFYA	high
SLC6A8	high
DHX36	high
LOC728554	high
KIF18B	high
PTGER4P2	high
PIK3R2	high
SNX5	high
EXOSC7	high
POGLUT1	high
ZCCHC7	high
TRAPPC11	high
TMEM231	high
FLJ39632	high
FAM43B	high
ZAK	high
SLX1B	high
SLX1A	high
MIR4721	high
DCAF4	high
USO1	high
FAM195A	high
SDHAF1	high
AP2S1	high
UBP1	high
EDARADD	high
MRPL44	high
SOS1-IT1	high
TONSL	high
C10ORF12	high
NDUFB1	high
SPRR2G	high
KDELR1	high
ZNF562	high
TMEM108	high
PSMB4	high
CEP44	high
KIAA1430	high
B9D2	high
ZNF607	high
LOC100506562	high
XPO6	high
GSTZ1	high
LOC100287015	high
PSENEN	high
SLC6A19	high
CFL1	high
TROAP	high
TOP2A	high
LCMT2	high
SLC25A26	high
ENO1	high
IMPDH2	high
EIF2D	high
HIST1H2BJ	high
WDR4	high
